Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database,District,Region
11,AFR::UGA::Busia,08/11/2015,08/11/2015,0,0,0,0.0,08/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 0 cases",JHU,Busia,Eastern
12,AFR::UGA::Busia,09/11/2015,09/11/2015,0,7,0,0.0,09/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 7 cases",JHU,Busia,Eastern
13,AFR::UGA::Busia,10/11/2015,10/11/2015,0,8,0,0.0,10/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 8 cases",JHU,Busia,Eastern
14,AFR::UGA::Busia,11/11/2015,11/11/2015,0,5,0,0.0,11/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 5 cases",JHU,Busia,Eastern
15,AFR::UGA::Busia,12/11/2015,12/11/2015,0,6,0,0.0,12/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 6 cases",JHU,Busia,Eastern
16,AFR::UGA::Busia,13/11/2015,13/11/2015,0,4,0,0.0,13/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 4 cases",JHU,Busia,Eastern
17,AFR::UGA::Busia,14/11/2015,14/11/2015,0,3,0,0.0,14/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 3 cases",JHU,Busia,Eastern
18,AFR::UGA::Busia,15/11/2015,15/11/2015,0,0,0,0.0,15/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 0 cases",JHU,Busia,Eastern
19,AFR::UGA::Busia,16/11/2015,16/11/2015,0,0,0,0.0,16/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 0 cases",JHU,Busia,Eastern
20,AFR::UGA::Busia,17/11/2015,17/11/2015,0,14,0,0.0,17/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 14 cases",JHU,Busia,Eastern
21,AFR::UGA::Busia,18/11/2015,18/11/2015,0,0,0,0.0,18/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 0 cases",JHU,Busia,Eastern
22,AFR::UGA::Busia,19/11/2015,19/11/2015,0,4,0,0.0,19/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 4 cases",JHU,Busia,Eastern
23,AFR::UGA::Busia,20/11/2015,20/11/2015,0,4,0,0.0,20/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 4 cases",JHU,Busia,Eastern
24,AFR::UGA::Busia,21/11/2015,21/11/2015,0,5,0,0.0,21/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 5 cases",JHU,Busia,Eastern
25,AFR::UGA::Busia,22/11/2015,22/11/2015,0,3,0,0.0,22/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 3 cases",JHU,Busia,Eastern
26,AFR::UGA::Busia,23/11/2015,23/11/2015,0,8,0,0.0,23/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 8 cases",JHU,Busia,Eastern
27,AFR::UGA::Busia,24/11/2015,24/11/2015,0,1,0,0.0,24/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 1 cases",JHU,Busia,Eastern
28,AFR::UGA::Busia,25/11/2015,25/11/2015,0,3,0,0.0,25/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 3 cases",JHU,Busia,Eastern
29,AFR::UGA::Busia,26/11/2015,26/11/2015,0,5,0,0.0,26/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 5 cases",JHU,Busia,Eastern
30,AFR::UGA::Busia,27/11/2015,27/11/2015,1,4,0,25.0,27/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 4 cases, 1 deaths",JHU,Busia,Eastern
31,AFR::UGA::Busia,28/11/2015,28/11/2015,0,11,0,0.0,28/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 11 cases",JHU,Busia,Eastern
32,AFR::UGA::Busia,29/11/2015,29/11/2015,0,5,0,0.0,29/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 5 cases",JHU,Busia,Eastern
33,AFR::UGA::Busia,30/11/2015,30/11/2015,0,4,0,0.0,30/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 4 cases",JHU,Busia,Eastern
34,AFR::UGA::Busia,01/12/2015,01/12/2015,0,5,0,0.0,01/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 5 cases",JHU,Busia,Eastern
35,AFR::UGA::Busia,02/12/2015,02/12/2015,0,7,0,0.0,02/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 7 cases",JHU,Busia,Eastern
36,AFR::UGA::Busia,03/12/2015,03/12/2015,0,5,0,0.0,03/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 5 cases",JHU,Busia,Eastern
37,AFR::UGA::Busia,04/12/2015,04/12/2015,0,1,0,0.0,04/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 1 cases",JHU,Busia,Eastern
38,AFR::UGA::Busia,05/12/2015,05/12/2015,0,8,0,0.0,05/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 8 cases",JHU,Busia,Eastern
39,AFR::UGA::Busia,06/12/2015,06/12/2015,0,4,0,0.0,06/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 4 cases",JHU,Busia,Eastern
40,AFR::UGA::Busia,07/12/2015,07/12/2015,0,3,0,0.0,07/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 3 cases",JHU,Busia,Eastern
41,AFR::UGA::Busia,08/12/2015,08/12/2015,0,2,0,0.0,08/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 2 cases",JHU,Busia,Eastern
42,AFR::UGA::Busia,09/12/2015,09/12/2015,0,6,0,0.0,09/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 6 cases",JHU,Busia,Eastern
43,AFR::UGA::Busia,10/12/2015,10/12/2015,0,2,0,0.0,10/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 2 cases",JHU,Busia,Eastern
44,AFR::UGA::Busia,11/12/2015,11/12/2015,0,5,0,0.0,11/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 5 cases",JHU,Busia,Eastern
45,AFR::UGA::Busia,12/12/2015,12/12/2015,0,0,0,0.0,12/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 0 cases",JHU,Busia,Eastern
46,AFR::UGA::Busia,13/12/2015,13/12/2015,0,7,0,0.0,13/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 7 cases",JHU,Busia,Eastern
47,AFR::UGA::Busia,14/12/2015,14/12/2015,0,8,0,0.0,14/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 8 cases",JHU,Busia,Eastern
48,AFR::UGA::Busia,15/12/2015,15/12/2015,0,16,0,0.0,15/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 16 cases",JHU,Busia,Eastern
49,AFR::UGA::Busia,16/12/2015,16/12/2015,0,0,0,0.0,16/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 0 cases",JHU,Busia,Eastern
50,AFR::UGA::Busia,17/12/2015,17/12/2015,0,4,0,0.0,17/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 4 cases",JHU,Busia,Eastern
51,AFR::UGA::Busia,18/12/2015,18/12/2015,0,4,0,0.0,18/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 4 cases",JHU,Busia,Eastern
52,AFR::UGA::Busia,19/12/2015,19/12/2015,0,3,0,0.0,19/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 3 cases",JHU,Busia,Eastern
53,AFR::UGA::Busia,20/12/2015,20/12/2015,0,0,0,0.0,20/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 0 cases",JHU,Busia,Eastern
54,AFR::UGA::Busia,21/12/2015,21/12/2015,0,6,0,0.0,21/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 6 cases",JHU,Busia,Eastern
55,AFR::UGA::Busia,22/12/2015,22/12/2015,0,4,0,0.0,22/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 4 cases",JHU,Busia,Eastern
56,AFR::UGA::Busia,23/12/2015,23/12/2015,0,1,0,0.0,23/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 1 cases",JHU,Busia,Eastern
57,AFR::UGA::Busia,24/12/2015,24/12/2015,0,3,0,0.0,24/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 3 cases",JHU,Busia,Eastern
58,AFR::UGA::Busia,25/12/2015,25/12/2015,0,3,0,0.0,25/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 3 cases",JHU,Busia,Eastern
59,AFR::UGA::Busia,26/12/2015,26/12/2015,0,2,0,0.0,26/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 2 cases",JHU,Busia,Eastern
60,AFR::UGA::Busia,27/12/2015,27/12/2015,0,1,0,0.0,27/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 1 cases",JHU,Busia,Eastern
61,AFR::UGA::Busia,28/12/2015,28/12/2015,0,0,0,0.0,28/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 0 cases",JHU,Busia,Eastern
62,AFR::UGA::Busia,29/12/2015,29/12/2015,0,1,0,0.0,29/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 1 cases",JHU,Busia,Eastern
63,AFR::UGA::Busia,30/12/2015,30/12/2015,0,0,0,0.0,30/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 0 cases",JHU,Busia,Eastern
64,AFR::UGA::Busia,31/12/2015,31/12/2015,0,2,0,0.0,31/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 2 cases",JHU,Busia,Eastern
65,AFR::UGA::Busia,01/01/2016,01/01/2016,0,1,0,0.0,01/01/2016,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 1 cases",JHU,Busia,Eastern
66,AFR::UGA::Busia,02/01/2016,02/01/2016,0,0,0,0.0,02/01/2016,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 0 cases",JHU,Busia,Eastern
67,AFR::UGA::Busia,03/01/2016,03/01/2016,0,1,0,0.0,03/01/2016,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 1 cases",JHU,Busia,Eastern
68,AFR::UGA::Busia,04/01/2016,04/01/2016,0,2,0,0.0,04/01/2016,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 2 cases",JHU,Busia,Eastern
69,AFR::UGA::Busia,29/10/2015,04/01/2016,7,253,0,2.8,04/01/2016,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 253 cases, 7 deaths",JHU,Busia,Eastern
70,AFR::UGA::Busia,29/10/2015,25/12/2015,0,119,0,0.0,25/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 119 cases",JHU,Busia,Eastern
71,AFR::UGA::Busia,29/10/2015,25/12/2015,0,120,0,0.0,25/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 120 cases",JHU,Busia,Eastern
72,AFR::UGA::UG-202::Samia-Bugwe::Busitema::Buchicha,29/10/2015,25/12/2015,0,6,0,0.0,25/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 6 cases",JHU,Kampala,Central
73,AFR::UGA::UG-202::Samia-Bugwe::Busitema::Tiira,29/10/2015,25/12/2015,0,3,0,0.0,25/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 3 cases",JHU,Busia,Eastern
74,AFR::UGA::UG-202::Samia-Bugwe::Busitema::Sikuda,29/10/2015,25/12/2015,0,1,0,0.0,25/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 1 cases",JHU,Busia,Eastern
75,AFR::UGA::UG-202::Samia-Bugwe::Buteba::Abochet,29/10/2015,25/12/2015,0,4,0,0.0,25/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 4 cases",JHU,Busia,Eastern
76,AFR::UGA::UG-202::Samia-Bugwe::Dabani::Nangwe,29/10/2015,25/12/2015,0,12,0,0.0,25/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 12 cases",JHU,Busia,Eastern
77,AFR::UGA::UG-202::Samia-Bugwe::Buteba::Mawero,29/10/2015,25/12/2015,0,7,0,0.0,25/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 7 cases",JHU,Busia,Eastern
78,AFR::UGA::UG-202::Samia-Bugwe::BusiaTC,29/10/2015,25/12/2015,2,184,0,1.1,25/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 184 cases, 2 deaths",JHU,Busia,Eastern
79,AFR::UGA::UG-202::Samia-Bugwe::Busitema::Busitema,29/10/2015,25/12/2015,0,1,0,0.0,25/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 1 cases",JHU,Busia,Eastern
80,AFR::UGA::UG-202::Samia-Bugwe::Buteba::Buteba,29/10/2015,25/12/2015,0,1,0,0.0,25/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 1 cases",JHU,Busia,Eastern
81,AFR::UGA::UG-202::Samia-Bugwe::Dabani::Busia,29/10/2015,25/12/2015,0,10,0,0.0,25/12/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 10 cases",JHU,Busia,Eastern
82,AFR::UGA,07/07/2023,24/08/2023,10,77,0,13.0,24/08/2023,35,JHU Cholera Database (UID: 21420),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 77 cases, 10 deaths",JHU,Mukono,Central
83,AFR::UGA,07/07/2023,13/08/2023,8,52,0,15.4,13/08/2023,35,JHU Cholera Database (UID: 21420),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 52 cases, 8 deaths",JHU,Busia,Eastern
84,AFR::UGA,01/01/2024,28/04/2024,1,32,0,3.1,28/04/2024,35,JHU Cholera Database (UID: 21420),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 32 cases, 1 deaths",JHU,Nakapiripirit,Northern
85,AFR::UGA,01/01/2023,31/12/2023,10,80,0,12.5,31/12/2023,35,JHU Cholera Database (UID: 21420),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 80 cases, 10 deaths",JHU,Kole,Northern
86,AFR::UGA,01/01/2023,31/03/2024,1,32,0,3.1,31/03/2024,35,JHU Cholera Database (UID: 21420),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 32 cases, 1 deaths",JHU,Sembabule,Central
87,AFR::UGA,01/01/2023,31/03/2024,1,32,0,3.1,31/03/2024,35,JHU Cholera Database (UID: 21420),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 32 cases, 1 deaths",JHU,Amuria,Eastern
88,AFR::UGA,01/01/2024,29/02/2024,1,6,0,16.7,29/02/2024,35,JHU Cholera Database (UID: 21420),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 6 cases, 1 deaths",JHU,Kanungu,Western
89,AFR::UGA,01/01/2024,29/02/2024,1,6,0,16.7,29/02/2024,35,JHU Cholera Database (UID: 21420),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 6 cases, 1 deaths",JHU,Ibanda,Western
90,AFR::UGA,01/01/2024,26/05/2024,1,32,0,3.1,26/05/2024,35,JHU Cholera Database (UID: 21420),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 32 cases, 1 deaths",JHU,Kampala,Central
91,AFR::UGA,01/01/2024,27/10/2024,5,89,0,5.6,27/10/2024,35,JHU Cholera Database (UID: 21420),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 89 cases, 5 deaths",JHU,Kyenjojo,Western
92,AFR::UGA,01/01/2024,24/11/2024,96,5,0,1920.0,24/11/2024,35,JHU Cholera Database (UID: 21420),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 5 cases, 96 deaths",JHU,Oyam,Northern
93,AFR::UGA,27/10/2024,24/11/2024,0,7,0,0.0,24/11/2024,35,JHU Cholera Database (UID: 21420),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 7 cases, 0 deaths",JHU,Buliisa,Western
94,AFR::UGA::Abim,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Abim,Northern
95,AFR::UGA::Adjumani,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Adjumani,Northern
96,AFR::UGA::Agago,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Agago,Northern
97,AFR::UGA::Alebtong,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Alebtong,Northern
98,AFR::UGA::Amolatar,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Amolatar,Northern
99,AFR::UGA::Amudat,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Amudat,Northern
100,AFR::UGA::Amuria,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Amuria,Eastern
101,AFR::UGA::Amuru,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Amuru,Northern
102,AFR::UGA::Apac,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Apac,Northern
103,AFR::UGA::Arua,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Arua,Northern
104,AFR::UGA::Budaka,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Budaka,Eastern
105,AFR::UGA::Bududa,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Bududa,Eastern
106,AFR::UGA::Bugiri,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Bugiri,Eastern
107,AFR::UGA::Buhweju,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Buhweju,Western
108,AFR::UGA::Buikwe,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Buikwe,Central
109,AFR::UGA::Bukedea,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Bukedea,Eastern
110,AFR::UGA::Bukomansimbi,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Bukomansimbi,Central
111,AFR::UGA::Kaliro,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Kaliro,Eastern
112,AFR::UGA::Bulambuli,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Bulambuli,Eastern
113,AFR::UGA::Buliisa,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Buliisa,Western
114,AFR::UGA::Bundibugyo,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Bundibugyo,Western
115,AFR::UGA::Bushenyi,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Bushenyi,Western
116,AFR::UGA::Busia,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Busia,Eastern
117,AFR::UGA::Butaleja,01/01/2011,31/12/2011,0,0,0,0.0,31/12/2011,53,JHU Cholera Database (UID: 5015),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,Butaleja,Eastern
